Symbol	RNA
Ddx39b	Ddx39b	Gene Expression
H2-D1	H2-D1	Gene Expression
H2-Q1	H2-Q1	Gene Expression
H2-Q2	H2-Q2	Gene Expression
Gm11131	Gm11131	Gene Expression
H2-Q4	H2-Q4	Gene Expression
H2-Q6	H2-Q6	Gene Expression
H2-Q7	H2-Q7	Gene Expression
H2-Q10	H2-Q10	Gene Expression
Tcf19	Tcf19	Gene Expression
Cchcr1	Cchcr1	Gene Expression
Vars2	Vars2	Gene Expression
Gtf2h4	Gtf2h4	Gene Expression
Ddr1	Ddr1	Gene Expression
Ier3	Ier3	Gene Expression
Flot1	Flot1	Gene Expression
Tubb5	Tubb5	Gene Expression
Mdc1	Mdc1	Gene Expression
Nrm	Nrm	Gene Expression
Ppp1r18	Ppp1r18	Gene Expression
Dhx16	Dhx16	Gene Expression
2310061I04Rik	2310061I04Rik	Gene Expression
Gm16279	Gm16279	Gene Expression
Atat1	Atat1	Gene Expression
Mrps18b	Mrps18b	Gene Expression
Ppp1r10	Ppp1r10	Gene Expression
Abcf1	Abcf1	Gene Expression
Prr3	Prr3	Gene Expression
Gnl1	Gnl1	Gene Expression
A930015D03Rik	A930015D03Rik	Gene Expression
H2-T24	H2-T24	Gene Expression
H2-T23	H2-T23	Gene Expression
H2-T22	H2-T22	Gene Expression
Gm6034	Gm6034	Gene Expression
BC023719	BC023719	Gene Expression
Gm20478	Gm20478	Gene Expression
Rpp21	Rpp21	Gene Expression
Trim39	Trim39	Gene Expression
Trim26	Trim26	Gene Expression
Rnf39	Rnf39	Gene Expression
Ppp1r11	Ppp1r11	Gene Expression
Znrd1	Znrd1	Gene Expression
Znrd1as	Znrd1as	Gene Expression
Gabbr1	Gabbr1	Gene Expression
Ubd	Ubd	Gene Expression
H2-M3	H2-M3	Gene Expression
Gm26917	Gm26917	Gene Expression
AY036118	AY036118	Gene Expression
Cenpq	Cenpq	Gene Expression
Mut	Mut	Gene Expression
Cd2ap	Cd2ap	Gene Expression
Tnfrsf21	Tnfrsf21	Gene Expression
Adgrf1	Adgrf1	Gene Expression
Adgrf5	Adgrf5	Gene Expression
Pla2g7	Pla2g7	Gene Expression
Cyp39a1	Cyp39a1	Gene Expression
Rcan2	Rcan2	Gene Expression
Enpp5	Enpp5	Gene Expression
Enpp4	Enpp4	Gene Expression
Clic5	Clic5	Gene Expression
Supt3	Supt3	Gene Expression
Cdc5l	Cdc5l	Gene Expression
B230354K17Rik	B230354K17Rik	Gene Expression
Aars2	Aars2	Gene Expression
Nfkbie	Nfkbie	Gene Expression
Slc35b2	Slc35b2	Gene Expression
Hsp90ab1	Hsp90ab1	Gene Expression
Slc29a1	Slc29a1	Gene Expression
Capn11	Capn11	Gene Expression
Tmem63b	Tmem63b	Gene Expression
Mrpl14	Mrpl14	Gene Expression
F630040K05Rik	F630040K05Rik	Gene Expression
Vegfa	Vegfa	Gene Expression
Mrps18a	Mrps18a	Gene Expression
Rsph9	Rsph9	Gene Expression
Mad2l1bp	Mad2l1bp	Gene Expression
Gtpbp2	Gtpbp2	Gene Expression
Polh	Polh	Gene Expression
Xpo5	Xpo5	Gene Expression
Polr1c	Polr1c	Gene Expression
Yipf3	Yipf3	Gene Expression
Tjap1	Tjap1	Gene Expression
Dlk2	Dlk2	Gene Expression
Abcc10	Abcc10	Gene Expression
Zfp318	Zfp318	Gene Expression
Slc22a7	Slc22a7	Gene Expression
Ttbk1	Ttbk1	Gene Expression
Dnph1	Dnph1	Gene Expression
Cul9	Cul9	Gene Expression
Srf	Srf	Gene Expression
Klc4	Klc4	Gene Expression
Mrpl2	Mrpl2	Gene Expression
Cul7	Cul7	Gene Expression
Rrp36	Rrp36	Gene Expression
Klhdc3	Klhdc3	Gene Expression
Mea1	Mea1	Gene Expression
Ppp2r5d	Ppp2r5d	Gene Expression
Pex6	Pex6	Gene Expression
Gnmt	Gnmt	Gene Expression
Cnpy3	Cnpy3	Gene Expression
2310039H08Rik	2310039H08Rik	Gene Expression
Rpl7l1	Rpl7l1	Gene Expression
Bicral	Bicral	Gene Expression
Tbcc	Tbcc	Gene Expression
Ubr2	Ubr2	Gene Expression
Mrps10	Mrps10	Gene Expression
Guca1a	Guca1a	Gene Expression
1700001C19Rik	1700001C19Rik	Gene Expression
AI661453	AI661453	Gene Expression
Taf8	Taf8	Gene Expression
Ccnd3	Ccnd3	Gene Expression
Bysl	Bysl	Gene Expression
Med20	Med20	Gene Expression
Gm20517	Gm20517	Gene Expression
Usp49	Usp49	Gene Expression
Tomm6	Tomm6	Gene Expression
Prickle4	Prickle4	Gene Expression
Frs3	Frs3	Gene Expression
Tfeb	Tfeb	Gene Expression
Mdfi	Mdfi	Gene Expression
Foxp4	Foxp4	Gene Expression
Treml4	Treml4	Gene Expression
B430306N03Rik	B430306N03Rik	Gene Expression
Nfya	Nfya	Gene Expression
Oard1	Oard1	Gene Expression
Mocs1	Mocs1	Gene Expression
Daam2	Daam2	Gene Expression
Rftn1	Rftn1	Gene Expression
Plcl2	Plcl2	Gene Expression
Tbc1d5	Tbc1d5	Gene Expression
Rab5a	Rab5a	Gene Expression
Kat2b	Kat2b	Gene Expression
Sgo1	Sgo1	Gene Expression
Sult1c2	Sult1c2	Gene Expression
Pot1b	Pot1b	Gene Expression
Adgre4	Adgre4	Gene Expression
Zfp119a	Zfp119a	Gene Expression
Zfp959	Zfp959	Gene Expression
Zfp119b	Zfp119b	Gene Expression
Ccdc94	Ccdc94	Gene Expression
Stap2	Stap2	Gene Expression
Mpnd	Mpnd	Gene Expression
Sh3gl1	Sh3gl1	Gene Expression
Chaf1a	Chaf1a	Gene Expression
Ubxn6	Ubxn6	Gene Expression
Hdgfl2	Hdgfl2	Gene Expression
Plin4	Plin4	Gene Expression
Plin5	Plin5	Gene Expression
Lrg1	Lrg1	Gene Expression
Sema6b	Sema6b	Gene Expression
Tnfaip8l1	Tnfaip8l1	Gene Expression
Mydgf	Mydgf	Gene Expression
Dpp9	Dpp9	Gene Expression
Fem1a	Fem1a	Gene Expression
Ticam1	Ticam1	Gene Expression
Plin3	Plin3	Gene Expression
Uhrf1	Uhrf1	Gene Expression
Kdm4b	Kdm4b	Gene Expression
Ptprs	Ptprs	Gene Expression
Safb2	Safb2	Gene Expression
Safb	Safb	Gene Expression
2410015M20Rik	2410015M20Rik	Gene Expression
Rpl36	Rpl36	Gene Expression
Lonp1	Lonp1	Gene Expression
Catsperd	Catsperd	Gene Expression
Ranbp3	Ranbp3	Gene Expression
Vmac	Vmac	Gene Expression
Ndufa11	Ndufa11	Gene Expression
Nrtn	Nrtn	Gene Expression
Dus3l	Dus3l	Gene Expression
Rfx2	Rfx2	Gene Expression
Mllt1	Mllt1	Gene Expression
Clpp	Clpp	Gene Expression
Alkbh7	Alkbh7	Gene Expression
Gtf2f1	Gtf2f1	Gene Expression
Khsrp	Khsrp	Gene Expression
Slc25a23	Slc25a23	Gene Expression
Crb3	Crb3	Gene Expression
C3	C3	Gene Expression
Gpr108	Gpr108	Gene Expression
Trip10	Trip10	Gene Expression
Vav1	Vav1	Gene Expression
Adgre1	Adgre1	Gene Expression
Rpl7a-ps5	Rpl7a-ps5	Gene Expression
Nudt12	Nudt12	Gene Expression
Efna5	Efna5	Gene Expression
Fbxl17	Fbxl17	Gene Expression
Fer	Fer	Gene Expression
Pja2	Pja2	Gene Expression
Man2a1	Man2a1	Gene Expression
Vapa	Vapa	Gene Expression
Rab31	Rab31	Gene Expression
Ppp4r1	Ppp4r1	Gene Expression
Ralbp1	Ralbp1	Gene Expression
Twsg1	Twsg1	Gene Expression
Ankrd12	Ankrd12	Gene Expression
Ndufv2	Ndufv2	Gene Expression
Washc1	Washc1	Gene Expression
Ddx11	Ddx11	Gene Expression
Rab12	Rab12	Gene Expression
Ptprm	Ptprm	Gene Expression
Lama1	Lama1	Gene Expression
Epb41l3	Epb41l3	Gene Expression
Zbtb14	Zbtb14	Gene Expression
C030034I22Rik	C030034I22Rik	Gene Expression
Gm20703	Gm20703	Gene Expression
Tgif1	Tgif1	Gene Expression
Myl12b	Myl12b	Gene Expression
Myl12a	Myl12a	Gene Expression
Lpin2	Lpin2	Gene Expression
Emilin2	Emilin2	Gene Expression
Smchd1	Smchd1	Gene Expression
Ndc80	Ndc80	Gene Expression
Wdr43	Wdr43	Gene Expression
Clip4	Clip4	Gene Expression
Ypel5	Ypel5	Gene Expression
Lbh	Lbh	Gene Expression
Lclat1	Lclat1	Gene Expression
Galnt14	Galnt14	Gene Expression
Ehd3	Ehd3	Gene Expression
Xdh	Xdh	Gene Expression
Memo1	Memo1	Gene Expression
Dpy30	Dpy30	Gene Expression
Spast	Spast	Gene Expression
Slc30a6	Slc30a6	Gene Expression
Yipf4	Yipf4	Gene Expression
Birc6	Birc6	Gene Expression
Ttc27	Ttc27	Gene Expression
Ltbp1	Ltbp1	Gene Expression
Rasgrp3	Rasgrp3	Gene Expression
Fam98a	Fam98a	Gene Expression
Crim1	Crim1	Gene Expression
Fez2	Fez2	Gene Expression
Gm10093	Gm10093	Gene Expression
Strn	Strn	Gene Expression
Heatr5b	Heatr5b	Gene Expression
Gpatch11	Gpatch11	Gene Expression
Eif2ak2	Eif2ak2	Gene Expression
Cebpzos	Cebpzos	Gene Expression
Cebpz	Cebpz	Gene Expression
Ndufaf7	Ndufaf7	Gene Expression
Prkd3	Prkd3	Gene Expression
Qpct	Qpct	Gene Expression
Cdc42ep3	Cdc42ep3	Gene Expression
Rmdn2	Rmdn2	Gene Expression
Atl2	Atl2	Gene Expression
Hnrnpll	Hnrnpll	Gene Expression
Galm	Galm	Gene Expression
Srsf7	Srsf7	Gene Expression
Gemin6	Gemin6	Gene Expression
Dhx57	Dhx57	Gene Expression
Morn2	Morn2	Gene Expression
Sos1	Sos1	Gene Expression
Cdkl4	Cdkl4	Gene Expression
Map4k3	Map4k3	Gene Expression
Thumpd2	Thumpd2	Gene Expression
Pkdcc	Pkdcc	Gene Expression
Eml4	Eml4	Gene Expression
Cox7a2l	Cox7a2l	Gene Expression
Mta3	Mta3	Gene Expression
Haao	Haao	Gene Expression
Zfp36l2	Zfp36l2	Gene Expression
Thada	Thada	Gene Expression
Plekhh2	Plekhh2	Gene Expression
Dync2li1	Dync2li1	Gene Expression
Abcg5	Abcg5	Gene Expression
Abcg8	Abcg8	Gene Expression
Lrpprc	Lrpprc	Gene Expression
1110020A21Rik	1110020A21Rik	Gene Expression
Ppm1b	Ppm1b	Gene Expression
Slc3a1	Slc3a1	Gene Expression
Prepl	Prepl	Gene Expression
Camkmt	Camkmt	Gene Expression
Srbd1	Srbd1	Gene Expression
Prkce	Prkce	Gene Expression
Epas1	Epas1	Gene Expression
Rhoq	Rhoq	Gene Expression
Pigf	Pigf	Gene Expression
Cript	Cript	Gene Expression
Socs5	Socs5	Gene Expression
Mcfd2	Mcfd2	Gene Expression
4833418N02Rik	4833418N02Rik	Gene Expression
Ttc7	Ttc7	Gene Expression
Calm2	Calm2	Gene Expression
Epcam	Epcam	Gene Expression
Msh2	Msh2	Gene Expression
Msh6	Msh6	Gene Expression
Fbxo11	Fbxo11	Gene Expression
Foxn2	Foxn2	Gene Expression
Ppp1r21	Ppp1r21	Gene Expression
Ston1	Ston1	Gene Expression
Gm10184	Gm10184	Gene Expression
Nrxn1	Nrxn1	Gene Expression
Mettl4	Mettl4	Gene Expression
Gm1976	Gm1976	Gene Expression
Gm20939	Gm20939	Gene Expression
Kdm5d	Kdm5d	Gene Expression
Eif2s3y	Eif2s3y	Gene Expression
Gm29650	Gm29650	Gene Expression
Uty	Uty	Gene Expression
Ddx3y	Ddx3y	Gene Expression
Gm47283	Gm47283	Gene Expression
Crem	Crem	Gene Expression
Cul2	Cul2	Gene Expression
Bambi	Bambi	Gene Expression
Map3k8	Map3k8	Gene Expression
Mtpap	Mtpap	Gene Expression
Jcad	Jcad	Gene Expression
Gm10556	Gm10556	Gene Expression
Svil	Svil	Gene Expression
Zfp438	Zfp438	Gene Expression
Zeb1	Zeb1	Gene Expression
Arhgap12	Arhgap12	Gene Expression
Kif5b	Kif5b	Gene Expression
Rpl27-ps3	Rpl27-ps3	Gene Expression
Epc1	Epc1	Gene Expression
Rab18	Rab18	Gene Expression
Mkx	Mkx	Gene Expression
Mpp7	Mpp7	Gene Expression
Wac	Wac	Gene Expression
Fzd8	Fzd8	Gene Expression
Ccny	Ccny	Gene Expression
Colec12	Colec12	Gene Expression
Thoc1	Thoc1	Gene Expression
Usp14	Usp14	Gene Expression
Rock1	Rock1	Gene Expression
Esco1	Esco1	Gene Expression
Snrpd1	Snrpd1	Gene Expression
Abhd3	Abhd3	Gene Expression
Mib1	Mib1	Gene Expression
1010001N08Rik	1010001N08Rik	Gene Expression
Gata6	Gata6	Gene Expression
Rbbp8	Rbbp8	Gene Expression
Gm6277	Gm6277	Gene Expression
Cables1	Cables1	Gene Expression
Tmem241	Tmem241	Gene Expression
Riok3	Riok3	Gene Expression
3110002H16Rik	3110002H16Rik	Gene Expression
Npc1	Npc1	Gene Expression
Ankrd29	Ankrd29	Gene Expression
Lama3	Lama3	Gene Expression
Ttc39c	Ttc39c	Gene Expression
Osbpl1a	Osbpl1a	Gene Expression
Impact	Impact	Gene Expression
Ss18	Ss18	Gene Expression
Psma8	Psma8	Gene Expression
Taf4b	Taf4b	Gene Expression
Kctd1	Kctd1	Gene Expression
Aqp4	Aqp4	Gene Expression
Gm10036	Gm10036	Gene Expression
Cdh2	Cdh2	Gene Expression
Dsc2	Dsc2	Gene Expression
Dsg1c	Dsg1c	Gene Expression
Dsg2	Dsg2	Gene Expression
Gm16090	Gm16090	Gene Expression
Ttr	Ttr	Gene Expression
Gm10269	Gm10269	Gene Expression
B4galt6	B4galt6	Gene Expression
Trappc8	Trappc8	Gene Expression
Rnf125	Rnf125	Gene Expression
Rnf138	Rnf138	Gene Expression
Garem1	Garem1	Gene Expression
Gm15972	Gm15972	Gene Expression
Mapre2	Mapre2	Gene Expression
Zfp397	Zfp397	Gene Expression
Zfp35	Zfp35	Gene Expression
Zfp24	Zfp24	Gene Expression
Ino80c	Ino80c	Gene Expression
Galnt1	Galnt1	Gene Expression
2700062C07Rik	2700062C07Rik	Gene Expression
Rprd1a	Rprd1a	Gene Expression
Slc39a6	Slc39a6	Gene Expression
Elp2	Elp2	Gene Expression
Mocos	Mocos	Gene Expression
Fhod3	Fhod3	Gene Expression
Tpgs2	Tpgs2	Gene Expression
AW554918	AW554918	Gene Expression
Celf4	Celf4	Gene Expression
Pik3c3	Pik3c3	Gene Expression
Slc25a46	Slc25a46	Gene Expression
B930094E09Rik	B930094E09Rik	Gene Expression
Sap130	Sap130	Gene Expression
Ammecr1l	Ammecr1l	Gene Expression
Gm26533	Gm26533	Gene Expression
Polr2d	Polr2d	Gene Expression
Wdr33	Wdr33	Gene Expression
Sft2d3	Sft2d3	Gene Expression
Lims2	Lims2	Gene Expression
Myo7b	Myo7b	Gene Expression
Iws1	Iws1	Gene Expression
Proc	Proc	Gene Expression
Map3k2	Map3k2	Gene Expression
Ercc3	Ercc3	Gene Expression
Bin1	Bin1	Gene Expression
Gypc	Gypc	Gene Expression
Tslp	Tslp	Gene Expression
Wdr36	Wdr36	Gene Expression
Stard4	Stard4	Gene Expression
Nrep	Nrep	Gene Expression
Epb41l4aos	Epb41l4aos	Gene Expression
Apc	Apc	Gene Expression
Srp19	Srp19	Gene Expression
Reep5	Reep5	Gene Expression
Fam13b	Fam13b	Gene Expression
Nme5	Nme5	Gene Expression
Brd8	Brd8	Gene Expression
Kif20a	Kif20a	Gene Expression
Cdc23	Cdc23	Gene Expression
Cdc25c	Cdc25c	Gene Expression
Gm3550	Gm3550	Gene Expression
Fam53c	Fam53c	Gene Expression
Kdm3b	Kdm3b	Gene Expression
Egr1	Egr1	Gene Expression
Etf1	Etf1	Gene Expression
Hspa9	Hspa9	Gene Expression
Ctnna1	Ctnna1	Gene Expression
Sil1	Sil1	Gene Expression
Matr3	Matr3	Gene Expression
Paip2	Paip2	Gene Expression
Slc23a1	Slc23a1	Gene Expression
Prob1	Prob1	Gene Expression
Spata24	Spata24	Gene Expression
Dnajc18	Dnajc18	Gene Expression
1700066B19Rik	1700066B19Rik	Gene Expression
Ecscr	Ecscr	Gene Expression
Tmem173	Tmem173	Gene Expression
Ube2d2a	Ube2d2a	Gene Expression
Cxxc5	Cxxc5	Gene Expression
Pura	Pura	Gene Expression
Igip	Igip	Gene Expression
Cystm1	Cystm1	Gene Expression
Pfdn1	Pfdn1	Gene Expression
Hbegf	Hbegf	Gene Expression
Ankhd1	Ankhd1	Gene Expression
Eif4ebp3	Eif4ebp3	Gene Expression
Sra1	Sra1	Gene Expression
Slc35a4	Slc35a4	Gene Expression
Cd14	Cd14	Gene Expression
Tmco6	Tmco6	Gene Expression
Ndufa2	Ndufa2	Gene Expression
Ik	Ik	Gene Expression
Wdr55	Wdr55	Gene Expression
Hars	Hars	Gene Expression
Hars2	Hars2	Gene Expression
Zmat2	Zmat2	Gene Expression
Pcdhb14	Pcdhb14	Gene Expression
Taf7	Taf7	Gene Expression
Pcdhga12	Pcdhga12	Gene Expression
Pcdhgc3	Pcdhgc3	Gene Expression
Diaph1	Diaph1	Gene Expression
Hdac3	Hdac3	Gene Expression
Arap3	Arap3	Gene Expression
Pcdh1	Pcdh1	Gene Expression
1700086O06Rik	1700086O06Rik	Gene Expression
0610009O20Rik	0610009O20Rik	Gene Expression
Pcdh12	Pcdh12	Gene Expression
Rnf14	Rnf14	Gene Expression
Gnpda1	Gnpda1	Gene Expression
Ndfip1	Ndfip1	Gene Expression
Spry4	Spry4	Gene Expression
Arhgap26	Arhgap26	Gene Expression
Fgf1	Fgf1	Gene Expression
Nr3c1	Nr3c1	Gene Expression
Yipf5	Yipf5	Gene Expression
Prelid2	Prelid2	Gene Expression
Lars	Lars	Gene Expression
Rbm27	Rbm27	Gene Expression
Tcerg1	Tcerg1	Gene Expression
Dpysl3	Dpysl3	Gene Expression
Eif3j2	Eif3j2	Gene Expression
Spink1	Spink1	Gene Expression
Spink5	Spink5	Gene Expression
Dcp2	Dcp2	Gene Expression
Mcc	Mcc	Gene Expression
Ythdc2	Ythdc2	Gene Expression
Kcnn2	Kcnn2	Gene Expression
Pggt1b	Pggt1b	Gene Expression
Fem1c	Fem1c	Gene Expression
Tmed7	Tmed7	Gene Expression
Eif1a	Eif1a	Gene Expression
Cdo1	Cdo1	Gene Expression
Atg12	Atg12	Gene Expression
Ap3s1	Ap3s1	Gene Expression
Commd10	Commd10	Gene Expression
Sema6a	Sema6a	Gene Expression
Eno1b	Eno1b	Gene Expression
Dtwd2	Dtwd2	Gene Expression
Dmxl1	Dmxl1	Gene Expression
Tnfaip8	Tnfaip8	Gene Expression
Hsd17b4	Hsd17b4	Gene Expression
Prr16	Prr16	Gene Expression
Gm4950	Gm4950	Gene Expression
Srfbp1	Srfbp1	Gene Expression
Snx2	Snx2	Gene Expression
Snx24	Snx24	Gene Expression
Ppic	Ppic	Gene Expression
Cep120	Cep120	Gene Expression
Csnk1g3	Csnk1g3	Gene Expression
Zfp608	Zfp608	Gene Expression
Gramd3	Gramd3	Gene Expression
Aldh7a1	Aldh7a1	Gene Expression
Phax	Phax	Gene Expression
Lmnb1	Lmnb1	Gene Expression
C330018D20Rik	C330018D20Rik	Gene Expression
Prrc1	Prrc1	Gene Expression
Slc12a2	Slc12a2	Gene Expression
Isoc1	Isoc1	Gene Expression
Chsy3	Chsy3	Gene Expression
Gm4951	Gm4951	Gene Expression
Gm4841	Gm4841	Gene Expression
F830016B08Rik	F830016B08Rik	Gene Expression
Iigp1	Iigp1	Gene Expression
Smim3	Smim3	Gene Expression
Dctn4	Dctn4	Gene Expression
Rbm22	Rbm22	Gene Expression
Synpo	Synpo	Gene Expression
Ndst1	Ndst1	Gene Expression
Rps14	Rps14	Gene Expression
Cd74	Cd74	Gene Expression
Tcof1	Tcof1	Gene Expression
Pdgfrb	Pdgfrb	Gene Expression
Csf1r	Csf1r	Gene Expression
Hmgxb3	Hmgxb3	Gene Expression
Slc26a2	Slc26a2	Gene Expression
Ppargc1b	Ppargc1b	Gene Expression
Arhgef37	Arhgef37	Gene Expression
Csnk1a1	Csnk1a1	Gene Expression
Bvht	Bvht	Gene Expression
Pcyox1l	Pcyox1l	Gene Expression
Grpel2	Grpel2	Gene Expression
1500015A07Rik	1500015A07Rik	Gene Expression
Afap1l1	Afap1l1	Gene Expression
Ablim3	Ablim3	Gene Expression
Adrb2	Adrb2	Gene Expression
Gm9949	Gm9949	Gene Expression
Fbxo38	Fbxo38	Gene Expression
Spink10	Spink10	Gene Expression
Napg	Napg	Gene Expression
Piezo2	Piezo2	Gene Expression
Txnl1	Txnl1	Gene Expression
Wdr7	Wdr7	Gene Expression
St8sia3os	St8sia3os	Gene Expression
St8sia3	St8sia3	Gene Expression
Onecut2	Onecut2	Gene Expression
Fech	Fech	Gene Expression
Nars	Nars	Gene Expression
Atp8b1	Atp8b1	Gene Expression
Nedd4l	Nedd4l	Gene Expression
Malt1	Malt1	Gene Expression
Zfp532	Zfp532	Gene Expression
Sec11c	Sec11c	Gene Expression
Lman1	Lman1	Gene Expression
Ccbe1	Ccbe1	Gene Expression
Chmp1b	Chmp1b	Gene Expression
Mppe1	Mppe1	Gene Expression
Impa2	Impa2	Gene Expression
Tubb6	Tubb6	Gene Expression
Afg3l2	Afg3l2	Gene Expression
Spire1	Spire1	Gene Expression
Gm17669	Gm17669	Gene Expression
Cep76	Cep76	Gene Expression
Psmg2	Psmg2	Gene Expression
Ptpn2	Ptpn2	Gene Expression
Gm26910	Gm26910	Gene Expression
Seh1l	Seh1l	Gene Expression
Cep192	Cep192	Gene Expression
Ldlrad4	Ldlrad4	Gene Expression
Fam210a	Fam210a	Gene Expression
Rnmt	Rnmt	Gene Expression
Tcf4	Tcf4	Gene Expression
Ccdc68	Ccdc68	Gene Expression
4930503L19Rik	4930503L19Rik	Gene Expression
Stard6	Stard6	Gene Expression
Poli	Poli	Gene Expression
Mbd2	Mbd2	Gene Expression
Mex3c	Mex3c	Gene Expression
Smad4	Smad4	Gene Expression
Elac1	Elac1	Gene Expression
Me2	Me2	Gene Expression
Mapk4	Mapk4	Gene Expression
Ska1	Ska1	Gene Expression
Cxxc1	Cxxc1	Gene Expression
Mbd1	Mbd1	Gene Expression
Myo5b	Myo5b	Gene Expression
Acaa2	Acaa2	Gene Expression
Lipg	Lipg	Gene Expression
Rpl17	Rpl17	Gene Expression
BC031181	BC031181	Gene Expression
Dym	Dym	Gene Expression
Smad7	Smad7	Gene Expression
Ctif	Ctif	Gene Expression
Zbtb7c	Zbtb7c	Gene Expression
Smad2	Smad2	Gene Expression
Ier3ip1	Ier3ip1	Gene Expression
Hdhd2	Hdhd2	Gene Expression
Pias2	Pias2	Gene Expression
8030462N17Rik	8030462N17Rik	Gene Expression
Haus1	Haus1	Gene Expression
Atp5a1	Atp5a1	Gene Expression
Pstpip2	Pstpip2	Gene Expression
Epg5	Epg5	Gene Expression
Pard6g	Pard6g	Gene Expression
Adnp2	Adnp2	Gene Expression
Rbfa	Rbfa	Gene Expression
Gm16286	Gm16286	Gene Expression
Txnl4a	Txnl4a	Gene Expression
Hsbp1l1	Hsbp1l1	Gene Expression
Pqlc1	Pqlc1	Gene Expression
Ctdp1	Ctdp1	Gene Expression
Nfatc1	Nfatc1	Gene Expression
Atp9b	Atp9b	Gene Expression
Zfp236	Zfp236	Gene Expression
Zfp516	Zfp516	Gene Expression
Tshz1	Tshz1	Gene Expression
Zadh2	Zadh2	Gene Expression
Zfp407	Zfp407	Gene Expression
Cndp2	Cndp2	Gene Expression
Cyb5a	Cyb5a	Gene Expression
Timm21	Timm21	Gene Expression
Gm5096	Gm5096	Gene Expression
Socs6	Socs6	Gene Expression
Rttn	Rttn	Gene Expression
Tmx3	Tmx3	Gene Expression
Gm45871	Gm45871	Gene Expression
Ighmbp2	Ighmbp2	Gene Expression
Mrpl21	Mrpl21	Gene Expression
Cpt1a	Cpt1a	Gene Expression
Tesmin	Tesmin	Gene Expression
Ppp6r3	Ppp6r3	Gene Expression
Lrp5	Lrp5	Gene Expression
1810055G02Rik	1810055G02Rik	Gene Expression
Kmt5b	Kmt5b	Gene Expression
Chka	Chka	Gene Expression
Tcirg1	Tcirg1	Gene Expression
Ndufs8	Ndufs8	Gene Expression
Aldh3b1	Aldh3b1	Gene Expression
Unc93b1	Unc93b1	Gene Expression
Acy3	Acy3	Gene Expression
Nudt8.1	Nudt8.1	Gene Expression
Ndufv1	Ndufv1	Gene Expression
Gstp1	Gstp1	Gene Expression
Gstp2	Gstp2	Gene Expression
Gstp3	Gstp3	Gene Expression
Cdk2ap2	Cdk2ap2	Gene Expression
Pitpnm1	Pitpnm1	Gene Expression
Aip	Aip	Gene Expression
Coro1b	Coro1b	Gene Expression
Rps6kb2	Rps6kb2	Gene Expression
Carns1	Carns1	Gene Expression
Ppp1ca	Ppp1ca	Gene Expression
Rad9a	Rad9a	Gene Expression
Pold4	Pold4	Gene Expression
Ssh3	Ssh3	Gene Expression
Grk2	Grk2	Gene Expression
Kdm2a	Kdm2a	Gene Expression
Rhod	Rhod	Gene Expression
Syt12	Syt12	Gene Expression
2010003K11Rik	2010003K11Rik	Gene Expression
Pcx	Pcx	Gene Expression
Rce1	Rce1	Gene Expression
Gm960	Gm960	Gene Expression
Sptbn2	Sptbn2	Gene Expression
Rbm4b	Rbm4b	Gene Expression
Rbm4	Rbm4	Gene Expression
Rbm14	Rbm14	Gene Expression
Ccs	Ccs	Gene Expression
Ctsf	Ctsf	Gene Expression
Zdhhc24	Zdhhc24	Gene Expression
Bbs1	Bbs1	Gene Expression
Dpp3	Dpp3	Gene Expression
Peli3	Peli3	Gene Expression
Mrpl11	Mrpl11	Gene Expression
Slc29a2	Slc29a2	Gene Expression
B4gat1	B4gat1	Gene Expression
Brms1	Brms1	Gene Expression
Rin1	Rin1	Gene Expression
Cd248	Cd248	Gene Expression
Yif1a	Yif1a	Gene Expression
Rab1b	Rab1b	Gene Expression
Klc2	Klc2	Gene Expression
Pacs1	Pacs1	Gene Expression
Sf3b2	Sf3b2	Gene Expression
Banf1	Banf1	Gene Expression
Eif1ad	Eif1ad	Gene Expression
Sart1	Sart1	Gene Expression
Drap1	Drap1	Gene Expression
AI837181	AI837181	Gene Expression
Ccdc85b	Ccdc85b	Gene Expression
Fibp	Fibp	Gene Expression
Efemp2	Efemp2	Gene Expression
Mus81	Mus81	Gene Expression
Cfl1	Cfl1	Gene Expression
Snx32	Snx32	Gene Expression
Ap5b1	Ap5b1	Gene Expression
Rnaseh2c	Rnaseh2c	Gene Expression
Kat5	Kat5	Gene Expression
Rela	Rela	Gene Expression
Sipa1	Sipa1	Gene Expression
Pcnx3	Pcnx3	Gene Expression
Map3k11	Map3k11	Gene Expression
Ehbp1l1	Ehbp1l1	Gene Expression
Fam89b	Fam89b	Gene Expression
Sssca1	Sssca1	Gene Expression
Ltbp3	Ltbp3	Gene Expression
Scyl1	Scyl1	Gene Expression
Malat1	Malat1	Gene Expression
Neat1	Neat1	Gene Expression
Frmd8os	Frmd8os	Gene Expression
Frmd8	Frmd8	Gene Expression
Slc25a45	Slc25a45	Gene Expression
Dpf2	Dpf2	Gene Expression
Gm42067	Gm42067	Gene Expression
Cdc42ep2	Cdc42ep2	Gene Expression
Pola2	Pola2	Gene Expression
Capn1	Capn1	Gene Expression
Syvn1	Syvn1	Gene Expression
Mrpl49	Mrpl49	Gene Expression
Fau	Fau	Gene Expression
Znhit2	Znhit2	Gene Expression
Tm7sf2	Tm7sf2	Gene Expression
Vps51	Vps51	Gene Expression
Zfpl1	Zfpl1	Gene Expression
Cdca5	Cdca5	Gene Expression
Sac3d1	Sac3d1	Gene Expression
